actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
alimentacion frutas verduras,Altamira Frutas y Verduras,CL,Calle,San Francisco Javier,6,38001,38038,Santa Cruz de Tenerife,,,,822664275.0,0.0,-16.24889305,28.47066305,2016-05-09T12:45:15.374000,2016-02-18T10:32:45.109000
alimentacion frutas verduras,Allium Zona,CL,Calle,Araujo,0,38639,38035,San Miguel,Z I Las Andoriñas,www.cebollastara.com,,922703359.0,922703359.0,-16.60687486,28.05411951,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
alimentacion frutas verduras,Allium Zona,CL,Calle,Cuescaro,61,38639,38035,San Miguel,Z I Las Andoriñas,www.cebollastara.com,,922703359.0,922703359.0,-16.60713324,28.0541022,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
alimentacion productos especializados herbolario,Amalia Comidas Caseras,CL,Calle,Alfonso Trujillo,4,38300,38026,La Orotava,Ed Temait,,,649090770.0,,-16.519635,28.39345599,2016-05-09T12:45:15.374000,2017-10-31T14:29:01.394000
alimentacion,Amparo Comidas,AV,Avenida,Trinidad,20,38204,38023,La Laguna,,,,,,-16.316311,28.48650599,2016-05-09T12:45:15.374000,2015-08-05T08:36:24.706000
alimentacion productos especializados herbolario,Antojitos de Mi Tierra,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Naciente 20,,,822016960.0,922105716.0,-16.251691,28.46295299,2016-05-09T12:45:15,2018-01-22T10:38:59.377000
alimentacion productos especializados herbolario,Antojitos de Mi Tierra,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Naciente 21,,,822016960.0,922105716.0,-16.25158692,28.46290405,2016-05-09T12:45:15,2015-11-10T14:27:46
alimentacion,Aperitivos Semavi,PZ,"Plaza, plazoleta",El Cristo,0,38201,38023,La Laguna,Mercado Municipal de La Laguna,,aperitivos@semavi.es,922314407.0,922314407.0,-16.313378,28.49304399,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
alimentacion mayor,Aperitivos Snack,PG,Polígono,Industrial Valle de Guimar,0,38509,38020,Güimar,PG GUIMAR MZ 14 PARC 23 A,www.aperitivos.snack.com,info@aperitivossnackes.com,922505450.0,922539777.0,-16.37590541,28.32380239,2016-05-09T12:45:15.374000,2016-11-09T09:37:12.779000
alimentacion productos especializados herbolario,Argodey Fortaleza Mojos,CL,Calle,Garajonay,41,38108,38023,La Laguna,Taco,www.argodeyfortaleza.com,argodey@argodeyfortaleza.com,922293303.0,922248333.0,-16.29725772,28.44187601,2016-08-09T12:55:42,2017-11-06T12:07:52.318000
alimentacion productos especializados herbolario,Aromas del Amanecer,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc P Baja 05,,,922219731.0,,-16.25227851,28.46295917,2016-05-09T12:45:15,2015-11-10T14:27:46
alimentacion productos especializados herbolario,Aromas del Amanecer,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc P Baja 04,,,922219731.0,,-16.25233895,28.46296735,2016-05-09T12:45:15,2015-11-10T14:27:46
alimentacion productos especializados herbolario,Aromas del Mundo,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Poniente 15,,,637107447.0,,-16.25230211,28.46313502,2017-07-20T11:33:45,2018-01-22T13:09:36
alimentacion productos especializados herbolario,Aromas del Mundo,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Poniente 16,,,637107447.0,,-16.25227421,28.46315545,2017-07-20T11:33:45,2018-01-22T13:09:36
alimentacion panaderia pasteleria,Arte Dulce,CL,Calle,10 de Agosto,6,38588,38005,Arico,Abades Ur Los Abriguitos Lc 06,,suba365@hotmail.com,649138269.0,,-16.44018759,28.14298809,2016-05-09T12:45:15.374000,2016-08-25T12:09:46.327000
alimentacion productos especializados herbolario,Arte Sano,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Patio Central 14,,,667803350.0,,-16.25210236,28.4631262,2016-05-09T12:45:15,2018-01-31T07:37:31.211000
alimentacion comidas preparadas,Asador Los Remedios,Cl,Calle,La Cencela,9,38480,38010,Buenavista del Norte,,,,696167618.0,,-16.84910168,28.37050357,2023-10-18T12:08:17.876000,2023-10-18T12:08:17.876000
alimentacion,Asados Palmero,CL,Calle,Tacoronte,17,38205,38023,La Laguna,Valle Colino,,,922651197.0,,-16.29724926,28.47590275,2016-05-09T12:45:15.374000,2015-08-04T14:00:57.411000
alimentacion mayor,Asados y Especialidades La Campesina,CL,Calle,J Gutenberg,0,38109,38032,El Rosario,PI La Campana San Isidro,www.asadosyespecialidades.com,asadoscampesina@?hotmail.com,922100952.0,,-16.31798893,28.41529386,2017-02-15T11:40:07.893000,2017-06-28T12:03:36.848000
alimentacion mayor,Atlanta Restauracion Tematica,CL,Calle,Plasencia,0,38639,38035,San Miguel,Z I Llano Del Camello,www.grupoatlanta.es,pedidostenerife@grupoatlanta.com,922071791.0,,-16.61645746,28.05324299,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
alimentacion mayor,Atlanta Restauracion Tematica,CL,Calle,Plasencia,0,38639,38035,San Miguel,Z I Llano Del Camello,www.grupoatlanta.es,pedidostenerife@grupoatlanta.es,922071791.0,,-16.61715009,28.05306434,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
alimentacion,Aulaga Ekotienda,CL,Calle,Triquivijate,13,38509,38011,Candelaria,Ed Casa Loma Lc 13,,,922984028.0,0.0,-16.36797069,28.36070054,2016-05-09T12:45:15,2017-08-23T09:12:40.885000
alimentacion supermercados,Autoservicio,RB,Rambla,Pulido,43,38004,38038,Santa Cruz de Tenerife,,,,,,-16.258629,28.46749699,2016-05-09T12:45:15.374000,2015-08-05T07:57:56.127000
alimentacion supermercados,Autoservicio 3000,AV,Avenida,Santa Cruz,27,38611,38017,Granadilla de Abona,San Isidro,,autoservicio3000@gmail.com,922395887.0,,-16.561461,28.08238899,2016-05-09T12:45:15.374000,2016-06-13T09:49:11.927000
alimentacion,Autoservicio Alba,AV,Avenida,Las Palmeras,2,38390,38039,Santa Úrsula,Ed Las Palmeras Bq E,,albaauoservicio@hotmail.com,922337303.0,0.0,-16.48843752,28.42742421,2016-05-09T12:45:15.374000,2018-04-10T14:25:43.419000
alimentacion,Autoservicio Alejo,CM,Camino,Cantillo,1,38270,38023,La Laguna,Valle de Guerra,,,922541209.0,,-16.38018295,28.52633959,2016-05-09T12:45:15.374000,2015-08-05T08:31:39.788000
alimentacion supermercados,Autoservicio Alvaro,CR,Carretera,General TF 28 Sur,34,38589,38005,Arico,Arico Viejo,,,922768622.0,,-16.48001691,28.18277926,2016-05-09T12:45:15.374000,2015-08-04T11:52:15.690000
alimentacion,Autoservicio Anaga,CL,Calle,La Rosa,106,38001,38038,Santa Cruz de Tenerife,,,,922289407.0,0.0,-16.24770487,28.47433485,2016-05-09T12:45:15.374000,2016-06-21T08:45:46.695000
alimentacion supermercados,Autoservicio Ani El Medio,CL,Calle,El Medio,10,38292,38046,Tegueste,Pedro Alvarez,,,,,-16.315746,28.52013999,2016-05-09T12:45:15.374000,2015-08-04T13:50:59.466000
alimentacion,Autoservicio Barroso,CL,Calle,Mencey Bencomo,17,38412,38031,Los Realejos,La Carrera,,,,,-16.59079939,28.38160225,2016-05-09T12:45:15,2016-05-26T10:49:17.758000
alimentacion,Autoservicio Casa Chano,CL,Calle,Fuente del Tanque,72,38380,38051,La Victoria,,,,922580184.0,,-16.46193749,28.42890384,2016-05-09T12:45:15.374000,2015-11-25T08:42:57.002000
alimentacion supermercados,Autoservicio Corin Metal,AV,Avenida,Abona,1,38611,38017,Granadilla de Abona,San Isidro,www.corinmetal.com,info@corinmetal.com,922391209.0,,-16.562991,28.08347899,2016-05-09T12:45:15.374000,2016-04-15T13:08:35.185000
alimentacion supermercados,Autoservicio Daniela,CL,Calle,El Campo,3,36680,38019,Guía de Isora,Guia de Isora,,marita_rossi@hotmail.es,636763336.0,,-16.77999232,28.21146761,2016-05-09T12:45:15.374000,2019-04-12T11:56:11.551000
alimentacion supermercados,Autoservicio El Molino,Cr,Carretera,General TF 217 Norte,207,38389,38051,La Victoria,,,,922581131.0,,-16.47700804,28.42976963,2016-05-09T12:45:15.374000,2024-09-27T09:52:23.664000
alimentacion supermercados,Autoservicio El Tablero,CR,Carretera,General TF 256 El Tablero,56,38107,38038,Santa Cruz de Tenerife,El Tablero,,,,,-16.33368863,28.423901,2016-05-09T12:45:15.374000,2015-08-04T10:46:09.756000
alimentacion supermercados,Autoservicio Esmeralda,CL,Calle,Tania,25,38108,38023,La Laguna,El Cardonal,,,,,-16.30038193,28.44888991,2016-05-09T12:45:15.374000,2016-11-09T12:05:35.680000
alimentacion,Autoservicio Fariña,CM,Camino,Cordobes,117,38400,38028,Puerto de la Cruz,La Vera,,,,,-16.55477687,28.39779065,2016-11-24T12:45:53.338000,2016-11-24T12:45:53.338000
alimentacion,Autoservicio Flora,CM,Camino,El Huron,19,38296,38023,La Laguna,San Miguel de Geneto,,,,,-16.31591408,28.45503189,2016-05-09T12:45:15.374000,2015-08-03T12:35:58.453000
alimentacion supermercados,Autoservicio Fumero,CR,Carretera,General TF 652 Las Galletas,81,38631,38006,Arona,Las Galletas Las Rosas,www.autoserviciofumero.com,comercialautoserviciofumero@hotmail.com,822660700.0,0.0,-16.65221796,28.02209344,2016-05-09T12:45:15.374000,2016-03-21T12:11:44.492000
alimentacion supermercados,Autoservicio Gama,AV,Avenida,Los Menceyes,423,38320,38023,La Laguna,La Cuesta,,,922646005.0,,-16.284291,28.46759799,2016-05-09T12:45:15.374000,2016-08-02T09:39:06.671000
alimentacion supermercados,Autoservicio Granados,CL,Calle,Granados,2,38007,38038,Santa Cruz de Tenerife,Barrio Cruz del Señor,,,,,-16.272772,28.46367599,2016-05-09T12:45:15.374000,2015-08-04T10:37:38.763000
alimentacion,Autoservicio Guanche,CM,Camino,Guanche,25,38311,38026,La Orotava,La Florida,,,922331414.0,,-16.50607643,28.39017162,2016-05-09T12:45:15.374000,2015-08-04T13:31:40.098000
alimentacion,Autoservicio La Candelaria,CL,Calle,Abreu y Valdes,54,38320,38023,La Laguna,La Cuesta Bo La Candelaria,,,,,-16.28518241,28.46990045,2017-06-15T12:50:54.695000,2018-03-12T10:23:49.301000
alimentacion supermercados,Autoservicio La Estrella Gama,CL,Calle,La Estrella,36,38470,38042,Los Silos,,,,922841384.0,,-16.818974,28.36635599,2016-05-09T12:45:15.374000,2015-08-04T12:59:27.357000
alimentacion supermercados,Autoservicio La Paz,CL,Calle,San Antonio,43,38202,38023,La Laguna,,,,,,-16.322855,28.48832499,2016-05-09T12:45:15.374000,2015-08-04T13:58:49.036000
alimentacion supermercados,Autoservicio Lala,CL,Calle,Los Arroyos,37,38389,38051,La Victoria,,,,922582199.0,,-16.458748,28.42973999,2016-05-09T12:45:15.374000,2015-08-04T13:36:35.141000
alimentacion,Autoservicio Las Adelfas,CL,Calle,Las Adelfas,9,38120,38038,Santa Cruz de Tenerife,San Andres,,,922591285.0,0.0,-16.19296509,28.50536064,2016-05-09T12:45:15,2017-11-24T10:48:19.881000
alimentacion,Autoservicio Los Arroyos,CL,Calle,Los Arroyos,51,38380,38051,La Victoria,,,,922581713.0,,-16.4593375,28.42955515,2016-05-09T12:45:15.374000,2018-01-19T14:15:15.175000
alimentacion supermercados,Autoservicio Lydia,CR,Carretera,General TF 13 Punta Hidalgo,69,38240,38023,La Laguna,Punta del Hidalgo,,lydia.rl@gmail.com,922156212.0,,-16.33017351,28.56551297,2016-05-09T12:45:15.374000,2015-08-04T13:53:27.018000
alimentacion supermercados,Autoservicio Manolo Udaco,CL,Calle,Los Pobres,102,38280,38046,Tegueste,,,jjra69@terra.es,922541385.0,,-16.34525,28.52380999,2016-05-09T12:45:15.374000,2016-07-12T07:24:22.246000
alimentacion,Autoservicio Nestor,CM,Camino,El Moral,53,38270,38023,La Laguna,Valle de Guerra,,,922541156.0,,-16.38802569,28.52201105,2017-04-17T10:41:22,2017-06-13T10:23:03
alimentacion supermercados,Autoservicio Pilar,CL,Calle,Salamanca,30,38006,38038,Santa Cruz de Tenerife,,,,922282001.0,,-16.26335833,28.46893543,2016-05-09T12:45:15.374000,2016-06-21T13:54:10.243000
alimentacion supermercados,Autoservicio Puchita,CL,Calle,Llano Mora,9,38626,38006,Arona,Valle San Lorenzo,,,0.0,0.0,-16.65758839,28.09047646,2016-05-09T12:45:15,2018-03-06T09:53:15.189000
alimentacion,Autoservicio Quintero,CR,Carretera,General TF 111 Los Campitos,87,38170,38038,Santa Cruz de Tenerife,Los Campitos,,,0.0,,-16.26192964,28.48505127,2016-05-09T12:45:15.374000,2016-04-25T14:21:46.018000
alimentacion supermercados,Autoservicio Ricali,CM,Camino,La Costa,64,38260,38023,La Laguna,Tejina,,,922541047.0,,-16.36623391,28.5357663,2016-05-09T12:45:15.374000,2016-08-11T14:00:19.985000
alimentacion supermercados,Autoservicio Rodry,CR,Carretera,General TF 272 El Sobradillo,62,38107,38038,Santa Cruz de Tenerife,El Sobradillo Cruce Cr Geneto,,,922537488.0,,-16.31738647,28.44177938,2016-05-09T12:45:15.374000,2017-07-06T10:43:22.948000
alimentacion,Autoservicio Santoska,CL,Calle,San Judas Tadeo,42,38108,38023,La Laguna,San Matias,,,,,-16.29764465,28.44098001,2016-05-09T12:45:15.374000,2015-08-04T10:43:56.867000
alimentacion supermercados,Autoservicio Torres,CL,Calle,Lope de Vega,18,38005,38038,Santa Cruz de Tenerife,,,,,,-16.258066,28.46296499,2016-05-09T12:45:15.374000,2015-08-04T10:26:16.678000
alimentacion supermercados,Autoservicio Udaco,CR,Carretera,General TF 13 Punta Hidalgo,201,38280,38046,Tegueste,,,,,,-16.341488,28.52235999,2016-05-09T12:45:15.374000,2016-05-24T09:01:45.993000
alimentacion,Autoservicio Yanes,Cl,Calle,Perez Diaz,16,38380,38051,La Victoria,A,,,922581119.0,0.0,-16.46693108,28.43578752,2016-05-09T12:45:15.374000,2024-09-27T09:52:23.664000
alimentacion panaderia pasteleria,Azucar y Mas,CR,Carretera,General TF 16 Tacoronte Tejina,11,38350,38043,Tacoronte,Mercado Municipal Lc 13,www.azucarymas.com,info@azucarymas.com,651106030.0,,-16.41456872,28.47792451,2016-05-09T12:45:15.374000,2015-08-04T13:42:46.792000
alimentacion panaderia pasteleria,Azucar y Sal,CL,Calle,La Arena,26,38631,38006,Arona,Las Galletas,,dominguera@hotmail.com,0.0,0.0,-16.65541788,28.00820114,2016-05-09T12:45:15.374000,2015-08-04T12:36:55.984000
alimentacion panaderia pasteleria,Azucar y Yo,Cl,Calle,Alferez Bertran de Lis,26,38500,38020,Güimar,,,,642121470.0,,-16.40907583,28.32051781,2024-09-27T09:33:22.074000,2024-09-27T09:33:22.074000
alimentacion panaderia pasteleria,Backer,CL,Calle,Perez Galdos,9,38002,38038,Santa Cruz de Tenerife,,,,922557652.0,,-16.25155565,28.46776623,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
alimentacion mayor,Begman Frost,CL,Calle,Juana Blanca,40,38202,38023,La Laguna,,www.begmanfrost.com/es/,,822179795.0,,-16.32448029,28.48982007,2018-04-24T10:18:02.792000,2018-04-24T10:18:02.792000
alimentacion mayor,Bejuca,CL,Calle,Tenbel,40,38639,38035,San Miguel,P I Las Chafiras,,bejuca.3076@cajarural.com,922735000.0,922735260.0,-16.61656266,28.04851006,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
alimentacion mayor,Bejuca,CL,Calle,Tenbel,40,38639,38035,San Miguel,P I Las Chafiras,,bejuca.3076@cajarural.com,922735000.0,922735260.0,-16.61671731,28.04851341,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
alimentacion,Belros,AV,Avenida,Manuel Hermoso Rojas,16,38003,38038,Santa Cruz de Tenerife,CC Meridiano Pt 0 N 07,www.belros.com,,922204859.0,922204859.0,-16.258977,28.45650999,2016-05-09T12:45:15.374000,2016-02-19T10:03:00.238000
alimentacion,Belros,AU,"Autopista, autovía",TF 5 Norte,0,38312,38026,La Orotava,CC La Villa Lc 103,www.belros.com,,0.0,,-16.54750417,28.39574042,2016-05-09T12:45:15.374000,2017-10-23T10:39:57.743000
alimentacion panaderia pasteleria,Benush Chocolatiere,CL,Calle,Sabino Berthelot,25,38003,38038,Santa Cruz de Tenerife,,benush.es,info@benush.es,639859331.0,,-16.25412484,28.46875328,2016-05-09T12:45:15,2022-04-22T13:23:10.741000
alimentacion mayor,Bestco Canarias,CL,Calle,Caracas,2,38639,38035,San Miguel,P I Las Chafiras,,tsgsupermarket@hotmail.co.uk,922736021.0,922736021.0,-16.61844449,28.04757129,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
alimentacion mayor,Betali Canarias,CL,Calle,Araujo,0,38639,38035,San Miguel,Z I Las Andoriñas,,betalicanarias@telefonica.net,922735669.0,,-16.60857665,28.05405872,2017-02-15T11:40:07.893000,2017-03-10T09:05:18.142000
alimentacion panaderia pasteleria,Bienmesabe,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc P Baja 11,,,600750627.0,,-16.25200947,28.46295935,2016-05-09T12:45:15,2018-01-30T14:40:13
alimentacion mayor,Biomerkalia,CL,Calle,Laura Grote De La Puerta,14,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,,0.0,,-16.2844812,28.4432479,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
alimentacion mayor,Biomerkalia,CL,Calle,Laura Grote De La Puerta,13,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,,0.0,,-16.28462892,28.4431376,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
alimentacion mayor,Biomerkalia,CL,Calle,Laura Grote De La Puerta,12,38110,38038,Santa Cruz de Tenerife,P I El Mayorazgo,,,0.0,,-16.2847837,28.44302204,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
alimentacion mayor,Bodegas Gonzalez Carro,CL,Calle,Plasencia,171,38639,38035,San Miguel,Z I Llano Del Camello,www.grupogonzalezcarro.es,info@grupogonzalezcarro.es,922735727.0,922735703.0,-16.6227076,28.0517536,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
administracion inmobiliaria,Bodegas Viñatigo,Tr,Transversal,Juandana,1,38440,38018,La Guancha,La Cañada,www.vinatigo.com,vinatigo@vinatigo.com,922828768.0,922829936.0,-16.65471,28.38132437,2023-10-18T12:08:17.876000,2023-10-18T12:08:17.876000
alimentacion panaderia pasteleria,Bolleria Marta,CL,Calle,La Libertad Trv 3,9,38550,38004,Arafo,,,bolleriamarta@hotmail.com,922510441.0,,-16.42155955,28.34053763,2019-04-09T11:21:56,2019-04-09T11:22:37.700000
alimentacion panaderia pasteleria,Bolleria Morales,CM,Camino,Calzadilla,32,38413,38031,Los Realejos,La Cruz Santa,,,922341119.0,,-16.56741053,28.37643097,2017-10-25T11:41:56.756000,2018-01-30T08:35:24.698000
alimentacion pescaderia,Bonanka,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Pescaderia 24,,,622365447.0,,-16.25165719,28.46271472,2016-05-09T12:45:15,2018-01-22T14:05:18
alimentacion panaderia pasteleria,Boutique del Pan Aguere,CL,Calle,Tabares de Cala,1,38201,38023,La Laguna,,,,922825149.0,,-16.315838,28.48770999,2016-05-09T12:45:15.374000,2015-08-04T13:57:37.255000
alimentacion panaderia pasteleria,Boutique del Pan Alejandra,CR,Carretera,General TF 13 Punta Hidalgo,227,38280,38046,Tegueste,,,,922150851.0,922150851.0,-16.343008,28.52238999,2016-05-09T12:45:15.374000,2016-05-24T09:01:45.993000
alimentacion panaderia pasteleria,Boutique del Pan Aroa,AV,Avenida,Los Abrigos,35,38618,38017,Granadilla de Abona,Los Abrigos,www.panaderiaaroa.com,,922170374.0,,-16.591304,28.02976839,2016-05-09T12:45:15.374000,2015-08-04T12:00:30.527000
alimentacion panaderia pasteleria,Boutique del Pan Buen Bouquet,CL,Calle,El Peral,4,38296,38023,La Laguna,Los Baldios,www.buenbouquet.es,info@buenbouquet.es,922256649.0,,-16.32725493,28.46146162,2016-05-09T12:45:15.374000,2015-08-03T12:35:58.453000
alimentacion panaderia pasteleria,Boutique del Pan Buen Bouquet,CR,Carretera,General TF 152 Norte,210,38330,38023,La Laguna,Guamasa,www.buenbouquet.es,info@buenbouquet.es,922638276.0,,-16.3689083,28.49249399,2016-05-09T12:45:15,2016-06-07T09:42:15.114000
alimentacion panaderia pasteleria,Boutique del Pan Buen Bouquet,CR,Carretera,General TF 16 Tacoronte Tejina,171,38270,38023,La Laguna,Valle de Guerra,www.buenbouquet.es,info@buenbouquet.es,922543894.0,,-16.38752349,28.51852559,2016-05-09T12:45:15.374000,2015-08-05T08:31:39.788000
alimentacion panaderia pasteleria,Boutique del Pan Colon,CL,Calle,La Gallega,17,38107,38038,Santa Cruz de Tenerife,La Gallega Esq Cl Pajarita,,,,,-16.31884311,28.43031871,2016-05-09T12:45:15,2016-05-16T09:20:47.098000
alimentacion panaderia pasteleria,Boutique del Pan Columbus,CL,Calle,Quintana,4,38400,38028,Puerto de la Cruz,CC Columbus Esq Pz del Charco,,,,,-16.55027993,28.41648191,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
