actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
asociacion cultural,Ale-Arte Cumbre de Bolico. Festival de Expresiones Artisticas Alexia Martel Gonzalez,Cl,Calle,La Placeta,10,38690.0,38040,Santiago del Teide,,,cultura@santiagodelteide.es,922823127.0,,-16.81584674,28.29742224,2023-10-06T09:42:54.211000,2023-10-06T09:42:54.211000
servicios religiosos,Alihsan,CL,Calle,Piedra Redonda,23,38670.0,38001,Adeje,Piedra Redonda,,,693780901.0,,-16.72979679,28.12190818,2017-01-31T08:55:12.977000,2017-04-07T14:44:09.652000
asociacion cultural,Alios. Festival Internacional de Circo de Punta Brava,Pz,"Plaza, plazoleta",de Europa,1,38400.0,38028,Puerto de la Cruz,,,cultura@puertodelacruz.es,922378400.0,,-16.54883604,28.41822006,2023-10-05T14:27:21.592000,2023-10-05T14:27:21.592000
asociación deportiva,Alomosport,CR,Carretera,General TF 324 La Perdoma,35,38315.0,38026,La Orotava,La Perdoma,,,,,-16.54793845,28.37800767,2016-05-09T12:45:15,2016-06-09T11:42:55
asociacion ciudadana,AM Hacienda El Jardin,CL,Calle,El Jardin,44,38419.0,38031,Los Realejos,El Jardin,,,,,-16.57226542,28.38906512,2016-05-26T14:15:37.096000,2016-05-26T14:15:37.096000
asociacion servicios sociales,Amnistia Internacional Tenerife,CL,Calle,Santo Domingo,10,38003.0,38038,Santa Cruz de Tenerife,,grupos.es.amnesty.org/es/canarias,tenerife@es.amnesty.org,636029175.0,922249417.0,-16.24925066,28.46528469,2017-09-27T14:47:49.899000,2018-03-09T11:52:10.976000
asociacion ciudadana,Animal Club Protectora,CL,Calle,La Verdad,2,38400.0,38028,Puerto de la Cruz,,www.animalclubprotectora.org,animalclubprotectora09@hotmail.com,655288059.0,922381819.0,-16.552577,28.41659813,2017-05-08T10:37:15,2017-05-08T10:37:15
asociacion servicios sociales,Año Nuevo Chino,Cl,Calle,Candelaria,23,38003.0,38038,Santa Cruz de Tenerife,,,canariashuashanghui@gmail.com,619755788.0,,-16.24867848,28.46585509,2023-10-06T09:27:02.067000,2023-10-06T09:27:02.067000
asociacion comercial empresarial,APECOPAS,CL,Calle,Santiago Cuadrado,15,38006.0,38038,Santa Cruz de Tenerife,,,apecopas@hotmail.com,922243362.0,922243362.0,-16.26240531,28.46884024,2018-03-26T10:40:00.533000,2018-06-04T13:36:47.930000
asociacion servicios sociales,Apoyo Laboral Mas Apoyo Social,CL,Calle,Santa Rosalia,11,38002.0,38038,Santa Cruz de Tenerife,,,almaqtfe@hotmail.com,922574733.0,922574830.0,-16.24965436,28.46937197,2017-06-13T14:21:20.748000,2017-06-13T14:21:20.748000
asociacion cultural,ARAC 1080,CL,Calle,Baltasar Nuñez,13,38002.0,38023,La Laguna,,https://es-es.facebook.com/ARAC1080/,arac1080@gmail.com,675928600.0,,-16.31853195,28.48653256,2018-03-27T10:33:02.015000,2018-03-27T10:33:02.015000
asociacion cultural,Arizona,Cl,Calle,Ismael Dominguez,67,38350.0,38043,Tacoronte,B,,info@deliriumteatro.com,629514266.0,,-16.41776085,28.47867374,2023-10-06T09:46:13.990000,2023-10-06T09:46:13.990000
asociacion cultural,Arteser Cultural Recreativa Deportiva,CL,Calle,Olivo,17,38108.0,38038,Santa Cruz de Tenerife,Barranco Grande,www.artesergente10.com,artesergente10@gmail.com,699930791.0,,-16.30692999,28.44047216,,
asociacion ciudadana,As¡ociacion Sociocultural El Gavetero,CL,Calle,San Francisco Javier,21,38001.0,38038,Santa Cruz de Tenerife,Pl 1 Vd Dr,www.elgavetero.com,info@elgavetero.com,600727918.0,,-16.24980787,28.47110173,2016-05-09T12:45:15,2016-05-17T09:09:54
servicios religiosos,Asamblea De Dios De Las Islas Canarias,CL,Calle,Fermin Morin,2,38007.0,38038,Santa Cruz de Tenerife,,,,,,-16.26867176,28.4666157,2019-01-30T13:36:10.690000,2019-01-30T13:36:10.690000
servicios religiosos,Asamblea De Dios De Las Islas Canarias,CL,Calle,San Eduardo,7,38108.0,38023,La Laguna,La Hornera,,,,,-16.29865629,28.45379052,2019-01-30T13:06:13.823000,2019-01-30T13:06:13.823000
servicios religiosos,Asamblea De Dios De Las Islas Canarias,CM,Camino,Coche,9,38400.0,38028,Puerto de la Cruz,,,,609255630.0,,-16.55018722,28.40880697,2019-02-04T09:11:42.363000,2019-02-05T07:51:23.587000
servicios religiosos,Asamblea De Dios De Las Islas Canarias,CL,Calle,Pintor Ribera,13,38007.0,38038,Santa Cruz de Tenerife,,,,,,-16.26560221,28.46651054,2019-01-30T13:28:34.181000,2019-01-30T13:28:34.181000
servicios religiosos,Asamblea De Dios Iglesia Cristiana Internacional,CL,Calle,Montaña Chica,4,38650.0,38006,Arona,Los Cristianos Ed El Verodal,,,922796675.0,,-16.7160799,28.05437001,2017-02-01T12:04:01,2019-02-05T09:04:05.735000
asociacion ciudadana,ASCYD Siempreviva,Cl,Calle,Lepanto,1,38508.0,38020,Güimar,,,,673624014.0,,-16.3758996,28.29430364,2024-09-27T09:33:22.074000,2024-09-27T09:33:22.074000
asociacion comercial empresarial,ASECU,CL,Calle,Lapilli,1,38108.0,38023,La Laguna,Los Majuelos Ed Centro Urbano,www.asecu.info,asecu@asecu.info,922651153.0,922310399.0,-16.30250688,28.4579735,2018-03-21T13:30:16.064000,2018-03-21T13:30:16.064000
asociacion servicios sociales,Asfecan-TLP,CL,Calle,Gongora,13,38005.0,38038,Santa Cruz de Tenerife,,www.tlp-asfecan.com,as@tlp-asfecan.com,922212541.0,,-16.258982,28.46202899,2016-05-09T12:45:15.374000,2016-11-28T12:31:04.672000
asociacion ciudadana,Asiciacion Vecinos Tamarco,CL,Calle,Tamarco,32,38203.0,38023,La Laguna,Cm La Villa,,,,,-16.32672523,28.48705811,2016-05-09T12:45:15,2016-07-29T09:54:20
asociacion servicios sociales,Asinted Canarias,CL,Calle,Educadora Lucia Mesa,1,38300.0,38026,La Orotava,La Torrita Centro Usos Multiples,asociacion66.tenerifesolidario.org,asintedcanarias@yahoo.es,600868207.0,,-16.52149189,28.38905705,2016-05-09T12:45:15,2018-03-07T10:42:18.126000
asociacion servicios sociales,Asistencia Enfermos Psiquicos AFES,CL,Calle,Alcalde Mandillo Tejera,2,38007.0,38038,Santa Cruz de Tenerife,Los Gladiolos Bq 1 V 2C,,,922230918.0,,-16.27033294,28.46064538,2017-06-14T13:38:54.940000,2017-06-14T13:38:54.940000
asociacion ciudadana,Asoc Vecinos Romen,Cl,Calle,Chacona,48,38500.0,38020,Güimar,,,,,,-16.41412781,28.32051967,2024-09-27T09:33:22.074000,2024-09-27T09:33:22.074000
asociación deportiva,Asoc. Depor. de Trabajo Canino Ataman,Cj,Callejón,Del Calvario,34,38360.0,38041,El Sauzal,,,g.t.d.ataman@hotmail.com,,,-16.4247173,28.47919426,2024-09-27T09:33:22.074000,2024-09-27T09:33:22.074000
asociacion comercial empresarial,ASOCAN,LG,"Lugar, zona",Muelle de Rivera,0,38001.0,38038,Santa Cruz de Tenerife,,www.asocan.net,,922288386.0,,-16.24685358,28.47035658,2018-03-21T11:44:33.133000,2018-11-30T14:07:15.725000
asociacion servicios sociales,Asociacion A Guerra,CL,Calle,Mencey Beneharo,64,38008.0,38038,Santa Cruz de Tenerife,Bo Salud,www.antoniguerra.net,dppguerra@gmail.com,639170810.0,,-16.2712371,28.47091051,,2018-03-21T11:07:59.283000
asociacion servicios sociales,Asociacion Abrazarte Sin Fronteras,CL,Calle,Juan Rumeu Garcia,28,38008.0,38038,Santa Cruz de Tenerife,Centro Insular Voluntariado Buzon Postal,asociacion166.tenerifesolidario.org,abrazotes@yahoo.es,627045923.0,922220765.0,-16.2732161,28.4653291,2017-06-14T13:47:11,2018-03-21T11:19:34.266000
asociacion ciudadana,Asociacion Accion Social Togo Española para Desarrollo Sostenible ASTEDESOS,CL,Calle,Princesa Guajara,16,38008.0,38038,Santa Cruz de Tenerife,Bo Salud,asociacion451.tenerifesolidario.org,astedesos@gmail.com,650620464.0,,-16.27012674,28.46874403,2016-05-09T12:45:15,2016-06-01T12:51:39
asociacion ciudadana,Asociacion Activara de Atencion Psicologica,CL,Calle,Juan Rumeu Garcia,28,38008.0,38038,Santa Cruz de Tenerife,Centro Insular Voluntariado Buzon Postal,asociacion442.tenerifesolidario.org,atencionpsicologica@cop.es,608624323.0,,-16.27314121,28.46539756,2017-06-14T13:47:11,2018-03-08T08:43:54
asociacion servicios sociales,Asociacion Activoz,CL,Calle,San Honorato,5,38203.0,38023,La Laguna,San Honorato,asociacion450.tenerifesolidario.org,almudc@hotmail.com,600243897.0,922626521.0,-16.31991465,28.48699619,2016-05-09T12:45:15,2018-03-08T14:34:43.127000
asociacion ciudadana,Asociacion Adventista para Desarrollo y Recursos Asistenciales ADRA,AV,Avenida,Reyes Catolicos,23,38005.0,38038,Santa Cruz de Tenerife,,www.adra-es.org,fcamacho@adventista.es,659945146.0,922644461.0,-16.26306965,28.46240274,2016-05-09T12:45:15,2018-03-21T11:08:42.454000
asociacion comercial empresarial,Asociacion Agricultores Santa Ursula,CM,Camino,Procesional,2,38390.0,38039,Santa Úrsula,,,,,,-16.49201333,28.4259143,2016-05-09T12:45:15,2018-02-09T08:32:18.348000
asociacion ciudadana,Asociacion Agroambiental Amanece Chinec,CL,Calle,Maria Cristina,21,38004.0,38038,Santa Cruz de Tenerife,,,amanecechinec@hotmail.com,646334135.0,,-16.25817489,28.46936164,2017-06-21T10:55:32,2017-06-21T10:55:32
asociacion ciudadana,Asociacion Agroecologica y Cultural La Alegria de la Huerta,CR,Carretera,Pista Militar,1,38001.0,38038,Santa Cruz de Tenerife,Bo Alegria,www.laalegriadelahuerta.org,alegriayhuerta@gmail.com,822173098.0,,-16.24423379,28.48432348,2017-03-07T14:27:13,2017-03-07T14:27:13
asociacion servicios sociales,Asociacion ALDIS Para Prevencion De Enfermedades Infantiles,CL,Calle,Hermanos Pinzon,27,38010.0,38038,Santa Cruz de Tenerife,Las Delicias,www.aldisong.es,aldis@aldisong.es,922646310.0,822012531.0,-16.2825892,28.45176476,2016-05-09T12:45:15,2018-03-21T11:19:34.266000
asociacion servicios sociales,Asociacion ALDIS Para Prevencion De Enfermedades Infantiles,AV,Avenida,Principes de España,30,38010.0,38038,Santa Cruz de Tenerife,Ofra Ed Proadcomsa Lc 29-30,www.aldisong.es,aldis@aldisong.es,696280005.0,922454466.0,-16.28747454,28.44855969,2017-04-05T10:29:14,2018-03-21T11:19:34.266000
asociacion ciudadana,Asociacion Alexia Para La Lucha Y La Prevencion De Actos Violentos,CL,Calle,Santiago Cuadrado,4,38006.0,38038,Santa Cruz de Tenerife,Pl 3 Vd Iz,,ruthrus@hotmail.com,,,-16.26227074,28.4700737,2016-05-09T12:45:15,2016-06-01T12:17:13
asociacion servicios sociales,Asociacion Alexia Para La Lucha Y Prevencion De Actos Violentos,AV,Avenida,La Salle,42,38005.0,38038,Santa Cruz de Tenerife,Pl a Vd A,,ruphruf@hotmail.com,618961720.0,922211434.0,-16.25727477,28.45920487,2016-05-09T12:45:15,2015-11-20T14:13:28
asociacion ciudadana,Asociacion ALLPA SISA De Ecuador Flores de la Tierra,CL,Calle,Garcilaso de la Vega,27,38005.0,38038,Santa Cruz de Tenerife,Pl 10 Vd H,,lucia-iluciones@hotmail.com,650067992.0,,-16.257624,28.45958526,2016-05-09T12:45:15,2016-06-21T11:16:18
asociacion ciudadana,Asociacion Amanecer De Los Inmigrantes Del Sur De Marruecos,CL,Calle,Rosalia de Castro,47,38611.0,38017,Granadilla de Abona,San Isidro,,amanecersurt@hotmail.com,651514825.0,922393252.0,-16.56692269,28.07398294,2016-05-09T12:45:15,2017-05-16T10:22:12
asociacion ciudadana,Asociacion Amas de Casa Girnada,CL,Calle,Santiago Beyro,30,38008.0,38038,Santa Cruz de Tenerife,Cruz del Señor Pl 1 Vd Dr,asociacion158.tenerifesolidario.org,,696692000.0,,-16.27231107,28.46723217,2016-05-09T12:45:15,2018-03-09T13:33:31.414000
asociacion ciudadana,Asociacion Amas De Casa Ithaysa,CL,Calle,Machado Y Fiesco,15,38320.0,38023,La Laguna,La Cuesta Bo La Candelaria Centro Sociocultural,,amasdecasaitahisa@gmail.com,922661122.0,,-16.28418618,28.47011862,2018-03-27T11:50:32,2018-11-30T13:33:46.383000
asociacion ciudadana,Asociacion Amigas De La Cuesta,CL,Calle,Abreu y Valdes,1,38320.0,38023,La Laguna,La Cuesta Bo La Candelaria Centro Civico El Tranvia,,,657744537.0,922644269.0,-16.28625133,28.46878084,2017-06-15T12:43:43,2018-11-23T09:39:09
asociación deportiva,Asociacion Amigos del Chapolin Canario,CR,Carretera,Provincial TF 217,71,38390.0,38039,Santa Úrsula,Pl 2 Of 4,,,,,-16.49731951,28.42314519,2016-05-09T12:45:15,2018-02-09T08:32:18.348000
asociacion servicios sociales,Asociacion Amigos Del Peru Inmigrantes,CL,Calle,San Lucas,22,38003.0,38038,Santa Cruz de Tenerife,,,,922279224.0,,-16.25332523,28.46802488,2017-06-09T14:09:13.983000,2017-06-09T14:09:13.983000
asociacion cultural,Asociacion Amigos IES Santa Ursula AMISU,CL,Calle,Alcalde Domingo Gutierrez,1,38399.0,38039,Santa Úrsula,IES Santa Ursula,,,,,-16.49999539,28.41997608,2016-05-09T12:45:15,2018-02-09T08:34:08.330000
asociacion ciudadana,Asociacion AMIL BAO-PAO,CL,Calle,Edelmira Alfonso Alfonso,18,38628.0,38035,San Miguel,Aldea Blanca,asociacion437.tenerifesolidario.org,contacto@bao-pao.es,608796900.0,822102042.0,-16.62547301,28.06633204,2016-05-09T12:45:15,2015-09-08T15:28:40
asociacion ciudadana,Asociacion Anafema,AV,Avenida,Belgica,14,38007.0,38038,Santa Cruz de Tenerife,,asociacion278.tenerifesolidario.org,teodorico52@hotmail.com,645463250.0,,-16.26432462,28.4647788,2016-08-18T12:27:47,2018-03-09T12:04:51.628000
asociacion ciudadana,Asociacion Anda Canarias,CL,Calle,Juan Rumeu Garcia,28,38008.0,38038,Santa Cruz de Tenerife,Centro Insular Voluntariado Buzon Postal,asociacion83.tenerifesolidario.org,,686943673.0,922229014.0,-16.27321867,28.4653037,2017-06-14T13:47:11,2018-03-09T11:55:50.095000
asociacion ciudadana,Asociacion Animalista Rompiendo Cadenas,CL,Calle,Parque,7,38399.0,38039,Santa Úrsula,,,,,,-16.50082545,28.41873893,2016-05-09T12:45:15,2018-02-05T12:33:15
asociacion ciudadana,Asociacion Aniplan,CL,Calle,Salamanca,30,38006.0,38038,Santa Cruz de Tenerife,Pl 4 Vd C,,aniplanong@yahoo.es,922629200.0,922629206.0,-16.26332792,28.46901333,2016-05-09T12:45:15,2016-06-07T14:37:57
asociacion servicios sociales,Asociacion APREME Discapacidad,CM,Camino,La Palma,5,38434.0,38022,Icod de los Vinos,Santa Barbara Asoc N S Amparo,es-es.facebook.com/Asociación-Apreme,apremeicod@hotmail.com,922812967.0,922812296.0,-16.69192587,28.36926749,2017-04-28T12:31:13,2018-03-20T13:54:26.922000
asociacion servicios sociales,Asociacion Aprendizaje y Desarrollo,CL,Calle,Codeso,3,38390.0,38039,Santa Úrsula,La Quinta Vd M3,,,,,-16.49075876,28.42915063,2017-01-13T11:40:16,2018-02-08T12:36:45
asociacion ciudadana,Asociacion Arco Iris,AV,Avenida,El Emigrante,3,38687.0,38019,Guía de Isora,Playa San Juan,,arcoirisamia@hotmail.com,,,-16.81867475,28.18232441,2016-05-09T12:45:15,2019-03-22T10:14:18.455000
asociacion ciudadana,Asociacion Arte con Proposito,RB,Rambla,Pulido,14,38004.0,38038,Santa Cruz de Tenerife,Pl 3 Vd C,asociacion-arte-proposito.tenerifesolidario.org,arteproposito@hotmail.com,699125254.0,,-16.25758245,28.46762215,2016-05-09T12:45:15,2018-03-09T12:04:51.628000
asociacion servicios sociales,Asociacion Arte En Diversidad DIVERARTE Discapacitados,CL,Calle,Rubens Marichal Lopez,70,38004.0,38038,Santa Cruz de Tenerife,Ifara Lc 7,www.artediversidad.org,,608100298.0,922152760.0,-16.2572873,28.48243651,2017-06-12T14:39:39.166000,2017-06-12T14:39:39.166000
asociacion ciudadana,Asociacion Asamblea De Cooperacion Por La Paz ACPP,CL,Calle,Villalba Hervas,10,38002.0,38038,Santa Cruz de Tenerife,Pl 7,ww.acpp.com,canarias@acpp.com,922280519.0,922280519.0,-16.24872683,28.46784488,2016-05-09T12:45:15,2016-06-14T07:49:37
asociacion servicios sociales,Asociacion ASINLADI Discapacitados,CL,Calle,Henry Dunant,55,38204.0,38023,La Laguna,Lc 9,,,639631045.0,,-16.31946511,28.48309522,2017-06-13T10:08:44.055000,2018-03-08T10:54:38.043000
asociacion ciudadana,Asociacion Asistencia Social Bautista ASBA,CL,Calle,Maja,179,38520.0,38011,Candelaria,Igueste Cr Cabildo,www.asbacanarias.org,asbacanarias@gmail.com,650559118.0,,-16.37290254,28.38175334,2017-01-31T10:33:43,2017-01-31T10:33:43
asociacion servicios sociales,Asociacion Asistencial Nahia,CL,Calle,Maya,20,38202.0,38023,La Laguna,,asociacion372.tenerifesolidario.org,asociacionnahia@yahoo.es,615206287.0,,-16.32237738,28.48976769,2016-09-29T08:57:06,2018-03-08T14:34:43.127000
asociacion servicios sociales,Asociacion Asistencial ONG Sonrisas del Suroeste,CL,Calle,Chirama,100,38111.0,38038,Santa Cruz de Tenerife,Santa Maria del Mar Alisios Lc 03-04,asociacion360.tenerifesolidario.org,ong.sonrisasdelsuroeste@gmail.com,662343048.0,,-16.30742581,28.42661763,2016-05-09T12:45:15,2018-03-09T12:08:30.170000
asociacion ciudadana,Asociacion Asomate En Igualdad,CL,Calle,Los Sabandeños,2,38355.0,38043,Tacoronte,Barranco Las Lajas Esq Cm Real,,asomateenigualdad@gmail.com,637405185.0,,-16.38572384,28.46981717,2016-05-09T12:45:15,2018-03-12T14:55:07.025000
asociacion servicios sociales,Asociacion Asperger Islas Canarias ASPERCAN,CL,Calle,Benito Perez Galdos,123,38206.0,38023,La Laguna,San Benito Centro Ciudadano Las Madres,asociacion412.tenerifesolidario.org,ts.tenerife@aspercan.com,628679209.0,,-16.32449237,28.48790078,2018-03-01T10:04:15,2018-03-21T10:48:43.610000
asociacion ciudadana,Asociacion Atahualpa de Ecuatorianos Residentes,CL,Calle,Pedro Bernardo Forstall,2,38008.0,38038,Santa Cruz de Tenerife,Salud Alto Pl 4 Vd Dr,,,617711955.0,,-16.27675277,28.474372,2016-05-09T12:45:15,2015-11-19T08:56:28
asociacion cultural,Asociacion Atahualpa de ecuatorianos residentes en Canarias,Cl,Calle,Ernesto Anastasio,3,38009.0,38038,Santa Cruz de Tenerife,Local 17,,asoatahualpaec@hotmail.com,607984790.0,,-16.27753609,28.45435229,2023-10-04T09:12:35.460000,2023-10-04T09:12:35.460000
asociacion servicios sociales,Asociacion Ataxias De Canarias ASACAN,CL,Calle,Juan Rumeu Garcia,28,38008.0,38038,Santa Cruz de Tenerife,Centro Insular Voluntariado Buzon Postal,,info@ataxiacanarias.com,639128574.0,,-16.27323206,28.46531797,2017-06-13T14:15:58.488000,2018-03-12T08:39:24.790000
asociacion ciudadana,Asociacion Ataxias del Atlantico,CL,Calle,Aldebaran,3,38010.0,38038,Santa Cruz de Tenerife,Bo Mayorazgo Llano Alegre,,teide34@hotmail.com,625753831.0,,-16.28186961,28.44653811,2018-03-05T12:47:06.015000,2018-03-05T12:47:06.015000
asociacion ciudadana,Asociacion Atimana-Dah,AV,Avenida,La Libertad,8,38108.0,38023,La Laguna,Los Majuelos Ed Araucaria Lc 4,www.atimana.org,secretariaatimana@gmail.com,922645715.0,,-16.29742165,28.45445789,2017-06-15T13:12:23,2017-06-15T13:12:23
asociacion ciudadana,Asociacion Atlantida De Barrio Nuevo de Ofra,CL,Calle,Barrio Nuevo de Ofra,81,38320.0,38023,La Laguna,Ofra,,,,,-16.29654072,28.460822,2016-05-09T12:45:15,2015-08-04T10:32:18
asociacion servicios sociales,Asociacion AUNAR Tenerife,CM,Camino,La Mina,30,38291.0,38023,La Laguna,Los Baldios,,aunartenerife@gmail.com,,,-16.33755289,28.46493107,2016-05-09T12:45:15,2015-08-03T12:28:55
asociación deportiva,Asociacion Automovilistica Tenerife Racing,CM,Camino,Procesional,7,38390.0,38039,Santa Úrsula,,,,,,-16.49175992,28.42603246,2016-05-09T12:45:15,2018-02-09T08:41:40.068000
asociacion ciudadana,Asociacion Azotea Verde Cultural y Agricola,CL,Calle,Simon Rueda,6,38107.0,38038,Santa Cruz de Tenerife,El Sobradillo Rs Castellano Pr 1 Pl 1 Vd A,,azotea.verde.canarias@gmail.com,605280680.0,,-16.31122817,28.44203102,2016-05-09T12:45:15,2016-06-01T12:58:41
asociacion servicios sociales,Asociacion Banco de Alimentos de Tenerife,LG,"Lugar, zona",Mercatenerife,12,38110.0,38038,Santa Cruz de Tenerife,Z I Mercatenerife,www.bancoalimentostfe.org,info@bancoalimentostfe.org,922226497.0,,-16.28067649,28.44061435,2017-02-15T11:40:07,2017-07-06T08:55:38
